Hour:,total number of Shipment:, Total Miles Driven: ,Truck 0's coordinates ,Truck 1's coordinates ,Truck 2's coordinates ,Truck 3's coordinates ,Truck 4's coordinates ,Truck 5's coordinates ,Truck 6's coordinates ,Truck 7's coordinates ,Truck 8's coordinates ,Truck 9's coordinates ,Truck 10's coordinates ,Truck 11's coordinates ,Truck 12's coordinates ,Truck 13's coordinates ,Truck 14's coordinates ,Truck 15's coordinates ,Truck 16's coordinates ,Truck 17's coordinates ,Truck 18's coordinates ,Truck 19's coordinates ,
200,325,31370.240097441376,(198.41517770333866:115.038865341962),(308.82555956097065:43.965487463499926),(290.88777826358216:196.11572109187045),(145.00260094935754:36.677461305634786),(372.5453932381347:69.36863739910699),(249.55604828154833:55.8094182253825),(291.1063684487475:191.1616069517279),(305.5795733727015:156.87027323891743),(340.0335508606116:50.6379692270241),(355.7084050939591:190.9743996644287),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
201,329,31382.72132346803,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(290.88777826358216:196.11572109187045),(145.00260094935754:36.677461305634786),(372.5453932381347:69.36863739910699),(249.55604828154833:55.8094182253825),(291.1063684487475:191.1616069517279),(305.5795733727015:156.87027323891743),(340.0335508606116:50.6379692270241),(355.7084050939591:190.9743996644287),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
202,333,31487.531832585275,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(145.00260094935754:36.677461305634786),(372.5453932381347:69.36863739910699),(249.55604828154833:55.8094182253825),(291.1063684487475:191.1616069517279),(305.5795733727015:156.87027323891743),(340.0335508606116:50.6379692270241),(355.7084050939591:190.9743996644287),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
203,337,31634.613721369933,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(372.5453932381347:69.36863739910699),(249.55604828154833:55.8094182253825),(291.1063684487475:191.1616069517279),(305.5795733727015:156.87027323891743),(340.0335508606116:50.6379692270241),(355.7084050939591:190.9743996644287),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
204,341,31766.906885184828,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(249.55604828154833:55.8094182253825),(291.1063684487475:191.1616069517279),(305.5795733727015:156.87027323891743),(340.0335508606116:50.6379692270241),(355.7084050939591:190.9743996644287),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
205,345,31778.848436225086,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(291.1063684487475:191.1616069517279),(305.5795733727015:156.87027323891743),(340.0335508606116:50.6379692270241),(355.7084050939591:190.9743996644287),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
206,349,31791.425930583617,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(305.5795733727015:156.87027323891743),(340.0335508606116:50.6379692270241),(355.7084050939591:190.9743996644287),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
207,353,32093.47305989315,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(340.0335508606116:50.6379692270241),(355.7084050939591:190.9743996644287),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
208,357,32209.486020089847,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(355.7084050939591:190.9743996644287),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
209,361,32347.66657173157,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(95.7715652165115:110.16468233930536),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
