Hour:,total number of Shipment:, Total Miles Driven: ,Truck 0's coordinates ,Truck 1's coordinates ,Truck 2's coordinates ,Truck 3's coordinates ,Truck 4's coordinates ,Truck 5's coordinates ,Truck 6's coordinates ,Truck 7's coordinates ,Truck 8's coordinates ,Truck 9's coordinates ,Truck 10's coordinates ,Truck 11's coordinates ,Truck 12's coordinates ,Truck 13's coordinates ,Truck 14's coordinates ,Truck 15's coordinates ,Truck 16's coordinates ,Truck 17's coordinates ,Truck 18's coordinates ,Truck 19's coordinates ,
0,0,144.2497833620557,(178.94683433666717:110.45807866745109),(310.0:24.0),(271.0:194.0),(165.0:37.0),(389.0:58.0),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
1,0,158.39191898578665,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(271.0:194.0),(165.0:37.0),(389.0:58.0),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
2,0,291.32799384885755,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(165.0:37.0),(389.0:58.0),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
3,0,466.6904755831213,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(389.0:58.0),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
4,0,622.2539674441618,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(230.0:60.0),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
5,0,661.8519471906085,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(253.0:179.0),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
6,0,728.3199846221439,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(344.0:168.0),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
7,0,1084.7018023401638,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(380.0:49.0),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
8,0,1257.2358569496814,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(385.0:196.0),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
9,0,1285.5201281971433,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(58.0:97.0),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
10,0,1719.6836918456834,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(231.0:54.0),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
11,0,1998.283763633183,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(331.0:150.0),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
12,0,2101.521353686419,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(269.0:45.0),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
13,0,2423.9620459074845,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(130.0:230.0),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
14,0,2756.302233065162,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(292.0:13.0),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
15,0,2859.539823118398,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(300.0:117.0),(250.0:190.0),(181.0:233.0),(300.0:66.0),
16,0,2889.238307928233,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(250.0:190.0),(181.0:233.0),(300.0:66.0),
17,0,2959.948986046888,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(181.0:233.0),(300.0:66.0),
18,0,3167.838379715733,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(300.0:66.0),
19,0,3461.994800689337,(178.94683433666717:110.45807866745109),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
20,0,3603.4913445287843,(180.89366867333433:110.91615733490218),(309.88255595609706:25.99654874634999),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
21,0,3617.467389192808,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(272.9887778263582:194.21157210918705),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
22,0,3747.590907481296,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(163.00026009493575:36.96774613056348),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
23,0,3920.1253299205996,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(387.35453932381347:59.1368637399107),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
24,0,4073.3617889770253,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(231.95560482815483:59.58094182253825),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
25,0,4110.194125852853,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(256.81063684487475:180.2161606951728),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
26,0,4171.273108977088,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(340.15795733727015:166.88702732389174),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
27,0,4522.221457854259,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(376.00335508606116:49.16379692270241),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
28,0,4689.103403022495,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(381.28609323645895:197.4855627054164),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
29,0,4712.135416955568,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(61.77715652165115:98.31646823393054),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
30,0,5140.957274623983,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(227.46266690276332:55.86742457925185),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
31,0,5414.554801970739,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(328.57882607190237:146.81599045072093),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
32,0,5514.368335017995,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(263.00576269365945:44.73709485498507),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
33,0,5828.331895544352,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(135.96361123402966:229.34019620389458),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
34,0,6152.238262814144,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(294.1420718142719:18.604598856519686),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
35,0,6252.44650585606,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(293.7820410343401:122.03358582934372),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
36,0,6273.351468766379,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(257.974522228289:190.63796177826313),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
37,0,6332.784469396342,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(173.87390504233414:229.364237266497),(290.09579954193555:67.3808741023263),
38,0,6530.596042929297,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(290.09579954193555:67.3808741023263),
39,0,6810.7458092906445,(180.89366867333433:110.91615733490218),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
40,0,6949.489113607484,(182.8405030100015:111.37423600235327),(309.76511191219413:27.99309749269998),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
41,0,6963.2990673118,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(274.97755565271643:194.4231442183741),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
42,0,7090.610029025705,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(161.0005201898715:36.93549226112695),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
